delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,z_score,is_anomaly
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8,8,no,delivered,3,1632.7206,0.5892434801671128,False
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2,3,no,delivered,5,640.17,-1.3592220210820967,False
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10,16,no,delivered,4,1448.17,1.1673750021441498,False
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,6,8,no,delivered,3,1486.57,-0.07969979580502849,False
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,9,16,no,delivered,4,1394.56,0.8746541693474935,False
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4,2,yes,delayed,3,391.45,-0.7313638819222441,False
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6,8,no,delivered,3,1222.87,-0.04964826365292083,False
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4,8,no,delivered,3,800.89,-0.7305025789709575,False
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,5,8,no,delivered,5,854.18,-0.40835146786188853,False
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3,8,no,delivered,5,423.34,-1.0079858793829712,False
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,5,8,no,delivered,4,1632.15,-0.3734898792702447,False
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,3,16,no,delivered,5,541.44,-1.0472738755203648,False
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8,16,no,delivered,4,1350.18,0.5269363052513212,False
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6,2,yes,failed,1,155.08,-0.10178313685981814,False
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12,16,no,delivered,3,1263.27,1.7843751894735997,False
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,8,6,yes,delayed,3,1281.51,0.5521625682419922,False
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,10,24,no,delivered,5,397.19,1.2633600115284331,False
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,11,24,no,delivered,5,990.36,1.481751769652692,False
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,4,8,no,delivered,3,651.1,-0.7313638819222441,False
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,7,3,yes,failed,2,388.09,0.28125007704922644,False
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,6,16,no,delivered,4,986.8,-0.04611990111050912,False
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,9,16,no,delivered,4,1131.74,0.8746541693474935,False
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6,8,no,delivered,5,1293.05,-0.09333426160945842,False
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,8,24,no,delivered,4,1363.2,0.5654662744945894,False
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7,24,no,delivered,5,1091.51,0.2312809557009331,False
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6,16,no,delivered,4,578.59,-0.08527251461882447,False
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9,7,yes,delayed,3,1632.7206,0.8746541693474935,False
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8,24,no,delivered,3,1574.01,0.5521625682419922,False
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,3,4,no,delivered,5,874.8,-1.0282298355897157,False
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,13,16,no,delivered,5,1475.36,2.1471261228841896,True
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,9,24,no,delivered,5,1534.04,0.9359900333686975,False
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10,8,yes,failed,1,1235.37,1.1768999861136842,False
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10,6,yes,failed,1,1402.69,1.2281352239871464,False
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8,16,no,delivered,5,243.66,0.608620055208962,False
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5,3,yes,delayed,2,595.53,-0.41048226938118504,False
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,3,8,no,delivered,4,356.43,-1.0079858793829712,False
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5,2,yes,delayed,2,298.16,-0.41048226938118504,False
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,8,no,delivered,5,1321.0,-0.41048226938118504,False
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,7,24,no,delivered,3,456.74,0.23080885597752332,False
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6,24,no,delivered,4,701.55,-0.08527251461882447,False
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6,8,no,delivered,5,834.87,-0.09333426160945842,False
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3,2,yes,delayed,3,206.74,-1.0448623000265271,False
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,7,24,no,delivered,5,1317.61,0.2125765841957515,False
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,9,16,no,delivered,3,1290.71,0.8746541693474935,False
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,6,8,no,delivered,4,157.38,-0.04964826365292083,False
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,5,24,no,delivered,4,970.6,-0.4021778155143831,False
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,4,24,no,delivered,3,1005.12,-0.7008598574299802,False
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,11,16,no,delivered,4,984.38,1.533110364503562,False
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,4,3,yes,failed,1,589.16,-0.7305025789709575,False
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,2,3,no,delivered,4,378.35,-1.3731271070043622,False
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,5,8,no,delivered,5,324.08,-0.4161428579153878,False
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,7,6,yes,delayed,2,1214.17,0.22168294464297167,False
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,5,24,no,delivered,4,856.8,-0.3978177841892025,False
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,5,8,no,delivered,4,1161.37,-0.3734898792702447,False
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,7,8,no,delivered,5,1065.7,0.28125007704922644,False
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,9,24,no,delivered,5,1066.02,0.9086893520771296,False
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,7,24,no,delivered,5,1200.32,0.28125007704922644,False
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,6,8,no,delivered,5,484.65,-0.09333426160945842,False
